,Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks,Spend,Conversions,Active,Campaign_Tag,Duration,click_through_rate,conversion_rate,cost_per_click,cost_acquisition
426,CMP-00427,Q3_Launch_CMP-00427,2023-09-04,2023-09-08,Email,32024,574,665.89,99.0,1,INVALID,4 days,0.01792405695728204,0.17247386759581881,1.1600871080139372,6.726161616161616
427,CMP-00428,Q1_Winter_CMP-00428,2023-10-12,2023-10-14,Google Ads,71313,897,1430.33,105.0,0,GO,2 days,0.012578351773168987,0.11705685618729098,1.5945707915273133,13.622190476190475
428,CMP-00429,Q4_BlackFriday_CMP-00429,2023-10-21,2023-11-03,TikTok,54006,632,1207.33,77.0,0,INVALID,13 days,0.011702403436655186,0.12183544303797468,1.9103322784810126,15.679610389610389
429,CMP-00430,Q2_Summer_CMP-00430,2023-10-15,2023-11-10,Facebook,96285,2393,3363.83,197.0,1,FA,26 days,0.02485330009866542,0.08232344337651483,1.4056957793564564,17.07527918781726
430,CMP-00431,Q2_Launch_CMP-00431,2023-11-11,2023-11-15,Email,16338,337,604.82,20.0,1,E-,4 days,0.02062675970130983,0.05934718100890208,1.7947181008902078,30.241000000000003
431,CMP-00432,Q1_BlackFriday_CMP-00432,2023-11-08,2023-12-02,Google Ads,69027,2474,4289.28,336.0,1,GO,24 days,0.03584104770597013,0.13581244947453516,1.7337429264349231,12.765714285714285
432,CMP-00433,Q4_Winter_CMP-00433,2023-05-17,2023-06-16,Facebook,93772,2810,2135.64,181.0,1,FA,30 days,0.029966301241308706,0.06441281138790035,0.7600142348754448,11.799116022099447
433,CMP-00434,Q3_BlackFriday_CMP-00434,2023-05-20,2023-06-17,TikTok,81135,1674,2056.89,196.0,1,TI,28 days,0.020632279534109815,0.11708482676224612,1.2287275985663082,10.494336734693876
434,CMP-00435,Q3_Launch_CMP-00435,2023-06-23,2023-06-30,Instagram,20508,327,220.85,62.0,1,IN,7 days,0.015944997074312465,0.18960244648318042,0.6753822629969419,3.5620967741935483
435,CMP-00436,Q4_BlackFriday_CMP-00436,2023-03-15,2023-03-22,Facebook,4051,61,92.92,11.0,1,FA,7 days,0.015058010367810418,0.18032786885245902,1.5232786885245901,8.447272727272727
436,CMP-00437,Q3_Winter_CMP-00437,2023-03-14,2023-04-08,TikTok,49747,2218,4269.32,190.0,1,TI,25 days,0.044585603151948865,0.08566275924256087,1.9248512173128944,22.470105263157894
437,CMP-00438,Q1_BlackFriday_CMP-00438,2023-02-16,2023-03-07,Unknown,88142,1739,1227.1,249.0,1,XX,19 days,0.019729527353588527,0.14318573893041978,0.7056354226566992,4.928112449799197
438,CMP-00439,Q1_Launch_CMP-00439,2023-08-03,2023-08-27,Google Ads,88235,3182,5093.82,385.0,1,GO,24 days,0.03606278687595625,0.12099308610936518,1.6008233815210557,13.230701298701298
439,CMP-00440,Q4_BlackFriday_CMP-00440,2023-06-09,2023-07-03,Facebook,55021,2334,3380.47,423.0,0,FA,24 days,0.042420166845386305,0.18123393316195371,1.4483590402742073,7.991654846335697
440,CMP-00441,Q3_Summer_CMP-00441,2023-10-18,2023-10-28,Instagram,67412,2329,3203.32,211.0,1,IN,10 days,0.03454874503055836,0.09059682267067411,1.375405753542293,15.181611374407584
441,CMP-00442,Q1_Launch_CMP-00442,2023-03-21,2023-04-17,Email,59335,2633,2857.28,133.0,1,EM,27 days,0.04437515800117974,0.050512723129510065,1.0851804025826055,21.483308270676694
442,CMP-00443,Q2_Launch_CMP-00443,2023-12-12,2024-01-04,Email,57179,1469,1517.03,109.0,1,EM,23 days,0.025691250284195246,0.0742001361470388,1.0326957113682778,13.917706422018348
443,CMP-00444,Q2_BlackFriday_CMP-00444,2023-08-15,2023-09-06,Google Ads,33093,1596,906.33,163.0,1,GO,22 days,0.04822772187471671,0.10213032581453634,0.567875939849624,5.560306748466258
444,CMP-00445,Q2_BlackFriday_CMP-00445,2023-08-15,2023-08-22,Google Ads,70678,1083,895.49,105.0,1,GO,7 days,0.015323014233566315,0.09695290858725762,0.8268605724838411,8.52847619047619
445,CMP-00446,Q4_BlackFriday_CMP-00446,2023-09-20,2023-10-19,Google Ads,81738,1151,601.7,194.0,1,INVALID,29 days,0.014081577723947246,0.1685490877497828,0.5227628149435274,3.1015463917525774
446,CMP-00447,Q1_BlackFriday_CMP-00447,2023-05-26,2023-06-14,Email,40734,1480,2030.75,225.0,1,EM,19 days,0.036333284234300586,0.15202702702702703,1.3721283783783784,9.025555555555556
448,CMP-00449,Q1_Winter_CMP-00449,2023-07-22,2023-08-01,Email,74523,3156,5710.87,374.0,0,EM,10 days,0.04234934181393664,0.1185044359949303,1.8095278833967046,15.269705882352941
449,CMP-00450,Q3_Summer_CMP-00450,2023-04-15,2023-04-27,TikTok,95476,1246,1600.75,80.0,1,TI,12 days,0.01305040010054883,0.06420545746388442,1.2847110754414126,20.009375
450,CMP-00451,Q1_Launch_CMP-00451,2023-03-12,2023-03-27,Unknown,18019,381,590.37,70.0,1,XX,15 days,0.021144347633054,0.1837270341207349,1.549527559055118,8.433857142857143
451,CMP-00452,Q3_Summer_CMP-00452,2023-03-03,2023-03-05,Instagram,84613,3994,4458.44,760.0,1,IN,2 days,0.04720314845236548,0.19028542814221333,1.1162844266399599,5.8663684210526315
452,CMP-00453,Q4_BlackFriday_CMP-00453,2023-08-09,2023-08-30,Instagram,92794,1867,2503.4,367.0,1,IN,21 days,0.020119835334181088,0.19657204070701662,1.3408677021960365,6.82125340599455
453,CMP-00454,Q1_Summer_CMP-00454,2023-12-27,2024-01-17,Email,87672,3616,6920.98,651.0,1,EM,21 days,0.041244639109407795,0.18003318584070796,1.913987831858407,10.631305683563747
454,CMP-00455,Q3_Winter_CMP-00455,2023-09-20,2023-12-09,Email,74847,3218,2008.36,244.0,0,EM,80 days,0.04299437519205847,0.07582349285270354,0.6241019266625233,8.230983606557377
455,CMP-00456,Q3_BlackFriday_CMP-00456,2023-01-22,2023-02-10,Email,83750,2497,2199.62,142.0,1,EM,19 days,0.029814925373134328,0.056868241890268324,0.880905086103324,15.490281690140844
456,CMP-00457,Q2_Summer_CMP-00457,2023-02-09,2023-03-10,Facebook,80634,2052,3426.8,280.0,0,FA,29 days,0.02544832204777141,0.1364522417153996,1.6699805068226121,12.23857142857143
457,CMP-00458,Q3_Winter_CMP-00458,2023-10-21,2023-11-19,Facebook,29251,819,530.8,153.0,1,FA,29 days,0.027999042767768625,0.18681318681318682,0.648107448107448,3.4692810457516337
458,CMP-00459,Q2_Launch_CMP-00459,2023-05-29,2023-06-25,Instagram,26945,514,315.33,39.0,1,IN,27 days,0.019075895342364074,0.07587548638132295,0.6134824902723736,8.085384615384616
460,CMP-00461,Q2_Summer_CMP-00461,2023-08-24,2023-08-31,Unknown,33217,930,593.57,158.0,1,XX,7 days,0.027997712014932112,0.16989247311827957,0.638247311827957,3.7567721518987347
461,CMP-00462,Q4_BlackFriday_CMP-00462,2023-02-15,2023-03-04,TikTok,9308,421,579.98,25.0,0,TI,17 days,0.04522990975504942,0.05938242280285035,1.377624703087886,23.1992
462,CMP-00463,Q2_Launch_CMP-00463,2023-08-12,2023-08-13,Email,6949,98,82.26,10.0,1,EM,1 days,0.01410274859692042,0.10204081632653061,0.8393877551020409,8.226
463,CMP-00464,Q4_Launch_CMP-00464,2023-07-22,2023-08-01,Google Ads,52990,2624,4837.47,398.0,1,GO,10 days,0.049518777127759955,0.15167682926829268,1.843548018292683,12.154447236180905
464,CMP-00465,Q1_BlackFriday_CMP-00465,2023-04-24,2023-04-25,Google Ads,2150,59,98.84,5.0,0,GO,1 days,0.02744186046511628,0.0847457627118644,1.6752542372881356,19.768
465,CMP-00466,Q3_BlackFriday_CMP-00466,2023-09-19,2023-09-26,Facebook,90480,1077,1668.87,67.0,1,FA,7 days,0.01190318302387268,0.06220984215413185,1.5495543175487465,24.908507462686565
466,CMP-00467,Q2_Launch_CMP-00467,2023-04-05,2023-04-10,Unknown,75740,872,1242.96,144.0,1,XX,5 days,0.011513071032479534,0.1651376146788991,1.4254128440366973,8.631666666666668
467,CMP-00468,Q3_Winter_CMP-00468,2023-11-27,2023-12-03,Google Ads,67617,2694,4836.27,389.0,0,GO,6 days,0.0398420515550823,0.14439495174461767,1.7952004454342987,12.432570694087405
468,CMP-00469,Q2_BlackFriday_CMP-00469,2023-03-16,2023-04-13,Instagram,95841,3484,2907.72,690.0,1,IN,28 days,0.036351874458738956,0.19804822043628015,0.8345924225028702,4.214086956521739
469,CMP-00470,Q2_Launch_CMP-00470,2023-03-20,2023-03-31,TikTok,17896,753,1362.68,76.0,0,TI,11 days,0.04207644166294144,0.10092961487383798,1.809667994687915,17.93
470,CMP-00471,Q2_BlackFriday_CMP-00471,2023-04-01,2023-04-08,Facebook,47175,670,1128.44,39.0,1,FA,7 days,0.014202437731849496,0.058208955223880594,1.6842388059701494,28.934358974358975
471,CMP-00472,Q3_Summer_CMP-00472,2023-08-26,2023-09-11,TikTok,8805,100,162.22,16.0,0,TI,16 days,0.011357183418512209,0.16,1.6222,10.13875
472,CMP-00473,Q3_Launch_CMP-00473,2023-08-18,2023-09-11,Facebook,6237,189,253.62,24.0,1,FA,24 days,0.030303030303030304,0.12698412698412698,1.341904761904762,10.5675
473,CMP-00474,Q2_Launch_CMP-00474,2023-11-26,2023-12-09,Facebook,21056,537,466.85,44.0,0,FA,13 days,0.02550341945288754,0.08193668528864059,0.869366852886406,10.610227272727274
474,CMP-00475,Q4_Summer_CMP-00475,2023-11-18,2023-12-12,Email,46543,1325,1504.3,221.0,0,EM,24 days,0.028468298132909353,0.16679245283018868,1.135320754716981,6.806787330316742
475,CMP-00476,Q2_Launch_CMP-00476,2023-08-29,2023-09-09,TikTok,57556,2858,4831.04,230.0,1,TI,11 days,0.049655987212453956,0.08047585724282715,1.6903568929321204,21.004521739130436
477,CMP-00478,Q4_BlackFriday_CMP-00478,2023-02-07,2023-02-20,Google Ads,14500,691,1156.1,44.0,1,GO,13 days,0.04765517241379311,0.06367583212735166,1.6730824891461649,26.275
478,CMP-00479,Q4_Launch_CMP-00479,2023-01-30,2023-02-19,Unknown,54222,2242,1928.36,246.0,0,XX,20 days,0.041348530116926706,0.10972346119536129,0.8601070472792149,7.838861788617886
479,CMP-00480,Q4_Launch_CMP-00480,2023-11-27,2023-12-22,Email,30375,734,525.88,82.0,0,EM,25 days,0.024164609053497942,0.11171662125340599,0.7164577656675749,6.413170731707317
480,CMP-00481,Q4_Summer_CMP-00481,2023-11-11,2023-11-17,Instagram,10662,282,189.94,35.0,1,IN,6 days,0.026449071468767585,0.12411347517730496,0.6735460992907801,5.426857142857143
481,CMP-00482,Q1_Launch_CMP-00482,2023-10-25,2023-11-24,Google Ads,17964,574,310.46,89.0,1,GO,30 days,0.031952794477844576,0.15505226480836237,0.5408710801393728,3.488314606741573
482,CMP-00483,Q1_Winter_CMP-00483,2023-01-22,2023-02-07,Instagram,60638,2620,3367.69,487.0,0,IN,16 days,0.04320722978990072,0.18587786259541986,1.28537786259542,6.91517453798768
483,CMP-00484,Q3_Winter_CMP-00484,2023-11-30,2023-12-16,Google Ads,74666,951,786.85,67.0,0,GO,16 days,0.012736720863579139,0.07045215562565721,0.8273922187171399,11.74402985074627
484,CMP-00485,Q3_Winter_CMP-00485,2023-09-14,2023-10-02,Google Ads,86067,2321,4605.21,134.0,0,GO,18 days,0.02696736263608584,0.05773373545885394,1.9841490736751402,34.367238805970146
486,CMP-00487,Q4_Winter_CMP-00487,2024-01-01,2024-01-11,Unknown,70042,2142,1514.03,153.0,1,XX,10 days,0.03058165100939436,0.07142857142857142,0.7068300653594771,9.89562091503268
487,CMP-00488,Q4_Summer_CMP-00488,2023-11-27,2023-12-23,Email,14284,656,1005.74,97.0,0,EM,26 days,0.04592551106132736,0.14786585365853658,1.533140243902439,10.368453608247423
488,CMP-00489,Q4_Launch_CMP-00489,2023-08-13,2023-09-04,Email,73789,3047,5626.64,484.0,0,EM,22 days,0.04129341771808806,0.1588447653429603,1.846616343944864,11.625289256198348
489,CMP-00490,Q1_Summer_CMP-00490,2023-11-09,2023-12-07,Email,85664,1637,2648.29,274.0,1,EM,28 days,0.019109544265969367,0.16737935247403787,1.61777031154551,9.665291970802919
490,CMP-00491,Q1_BlackFriday_CMP-00491,2023-05-25,2023-06-02,Unknown,94468,4632,2847.1,400.0,1,XX,8 days,0.04903247660583478,0.08635578583765112,0.6146588946459413,7.11775
491,CMP-00492,Q1_BlackFriday_CMP-00492,2023-12-14,2023-12-17,Instagram,62389,2289,4220.52,219.0,0,IN,3 days,0.03668915994806777,0.09567496723460026,1.8438269986893843,19.27178082191781
492,CMP-00493,Q1_BlackFriday_CMP-00493,2023-11-28,2023-12-18,Email,10435,108,182.62,13.0,1,E-,20 days,0.010349784379492095,0.12037037037037036,1.690925925925926,14.047692307692309
493,CMP-00494,Q4_BlackFriday_CMP-00494,2023-10-13,2023-10-17,Facebook,55340,1118,824.48,66.0,0,FA,4 days,0.02020238525478858,0.059033989266547404,0.7374597495527728,12.492121212121212
494,CMP-00495,Q1_Summer_CMP-00495,2023-12-03,2024-01-01,Email,45078,920,531.46,130.0,0,EM,29 days,0.020409068725320556,0.14130434782608695,0.5776739130434783,4.088153846153847
495,CMP-00496,Q1_Winter_CMP-00496,2023-03-18,2023-03-19,TikTok,79832,1019,1361.35,201.0,1,TI,1 days,0.01276430504058523,0.197252208047105,1.3359666339548577,6.772885572139303
496,CMP-00497,Q2_Launch_CMP-00497,2023-03-14,2023-04-11,Unknown,52293,2530,1857.16,263.0,1,XX,28 days,0.04838123649436827,0.10395256916996047,0.7340553359683795,7.061444866920152
497,CMP-00498,Q2_Winter_CMP-00498,2023-12-02,2023-12-03,Facebook,96981,2825,4949.08,460.0,1,FA,1 days,0.029129417102319012,0.16283185840707964,1.7518867256637167,10.758869565217392
499,CMP-00500,Q3_Summer_CMP-00500,2023-10-14,2023-10-16,TikTok,61403,1405,2626.42,97.0,1,TI,2 days,0.022881618161979058,0.06903914590747331,1.869338078291815,27.076494845360827
500,CMP-00501,Q4_Winter_CMP-00501,2023-03-07,2023-04-04,Instagram,30124,452,609.54,62.0,1,IN,28 days,0.015004647457177002,0.13716814159292035,1.3485398230088494,9.831290322580644
501,CMP-00502,Q1_Summer_CMP-00502,2023-12-17,2023-12-18,Google Ads,96435,2794,2162.58,265.0,1,GO,1 days,0.0289728832892622,0.09484609878310665,0.7740085898353615,8.160679245283019
503,CMP-00504,Q1_Summer_CMP-00504,2023-07-05,2023-08-04,TikTok,36247,1067,1456.14,154.0,1,TI,30 days,0.02943691891742765,0.14432989690721648,1.3647047797563263,9.455454545454547
504,CMP-00505,Q2_Winter_CMP-00505,2023-06-24,2023-06-25,Google Ads,95758,4482,7363.14,801.0,1,GO,1 days,0.046805488836441866,0.178714859437751,1.6428246318607764,9.19243445692884
506,CMP-00507,Q1_Launch_CMP-00507,2023-06-01,2023-06-16,TikTok,63752,2209,2018.22,239.0,1,TI,15 days,0.03464989333667964,0.10819375282933454,0.9136351290176551,8.444435146443515
508,CMP-00509,Q1_BlackFriday_CMP-00509,2023-01-20,2023-02-13,Google Ads,60101,706,370.74,121.0,1,GO,24 days,0.011746892730570207,0.17138810198300283,0.525127478753541,3.0639669421487605
509,CMP-00510,Q4_Launch_CMP-00510,2023-11-13,2023-12-02,TikTok,27646,398,604.48,62.0,1,TI,19 days,0.014396296028358534,0.15577889447236182,1.5187939698492463,9.749677419354839
510,CMP-00511,Q2_Winter_CMP-00511,2023-03-25,2023-03-31,TikTok,24049,816,501.72,71.0,1,TI,6 days,0.03393072477026072,0.08700980392156862,0.6148529411764706,7.066478873239437
511,CMP-00512,Q3_Launch_CMP-00512,2023-11-16,2023-11-20,TikTok,80605,1112,1257.83,207.0,0,TI,4 days,0.013795670243781403,0.18615107913669066,1.1311420863309352,6.07647342995169
512,CMP-00513,Q1_Launch_CMP-00513,2023-08-13,2023-08-15,Facebook,99116,2481,3479.66,181.0,0,FA,2 days,0.025031276484119618,0.07295445384925434,1.4025231761386536,19.2246408839779
514,CMP-00515,Q2_Winter_CMP-00515,2023-08-16,2023-08-23,Google Ads,69385,1772,1714.77,96.0,1,GO,7 days,0.025538661093896374,0.05417607223476298,0.9677031602708803,17.8621875
516,CMP-00517,Q2_Launch_CMP-00517,2023-08-29,2023-09-05,TikTok,66417,1391,2060.41,127.0,0,TI,7 days,0.020943433157173615,0.09130122214234364,1.4812437095614666,16.223700787401572
517,CMP-00518,Q4_BlackFriday_CMP-00518,2023-12-14,2023-12-28,Facebook,24289,1144,1634.61,134.0,0,FA,14 days,0.04709951006628515,0.11713286713286714,1.428854895104895,12.198582089552238
518,CMP-00519,Q3_Summer_CMP-00519,2023-08-25,2023-09-18,TikTok,10823,400,399.27,40.0,1,TI,24 days,0.03695832948350734,0.1,0.9981749999999999,9.98175
521,CMP-00522,Q4_Summer_CMP-00522,2023-05-12,2023-09-05,Instagram,10540,523,437.21,95.0,1,IN,116 days,0.04962049335863378,0.18164435946462715,0.8359655831739962,4.6022105263157895
522,CMP-00523,Q4_Launch_CMP-00523,2023-09-04,2023-09-13,Email,17364,640,549.58,124.0,1,EM,9 days,0.036857866850956,0.19375,0.8587187500000001,4.432096774193549
523,CMP-00524,Q4_Winter_CMP-00524,2023-02-22,2023-03-08,TikTok,5611,127,161.09,10.0,1,TI,14 days,0.022634111566565675,0.07874015748031496,1.2684251968503937,16.109
524,CMP-00525,Q1_BlackFriday_CMP-00525,2023-03-05,2023-03-26,TikTok,28663,1294,2148.5,203.0,0,TI,21 days,0.0451453092837456,0.15687789799072643,1.660355486862442,10.583743842364532
525,CMP-00526,Q4_Summer_CMP-00526,2023-05-20,2023-05-21,Google Ads,52991,1077,609.65,161.0,0,GO,1 days,0.020324205997244816,0.14948932219127206,0.5660631383472609,3.786645962732919
526,CMP-00527,Q4_Summer_CMP-00527,2023-08-22,2023-12-08,Email,58679,1863,2869.03,189.0,1,EM,108 days,0.031749007310963036,0.10144927536231885,1.5400053676865273,15.180052910052911
527,CMP-00528,Q3_Summer_CMP-00528,2023-04-24,2023-05-19,TikTok,31977,1133,1668.18,59.0,1,TI,25 days,0.03543171654626763,0.05207413945278023,1.4723565754633716,28.274237288135595
528,CMP-00529,Q4_Summer_CMP-00529,2023-01-14,2023-01-16,Email,95704,1803,1527.54,276.0,0,EM,2 days,0.01883933795870601,0.15307820299500832,0.8472212978369384,5.534565217391304
529,CMP-00530,Q3_Winter_CMP-00530,2023-07-11,2023-08-09,TikTok,50115,2462,3747.24,472.0,1,TI,29 days,0.049127007881871694,0.1917140536149472,1.5220308692120226,7.939067796610169
530,CMP-00531,Q4_Launch_CMP-00531,2023-07-11,2023-07-15,Instagram,92007,3673,7016.44,531.0,0,IN,4 days,0.039920875585553274,0.14456847263817044,1.9102749795807241,13.213634651600753
531,CMP-00532,Q3_Summer_CMP-00532,2023-02-20,2023-03-02,Facebook,89223,2883,1643.83,332.0,0,FA,10 days,0.032312296156820554,0.11515782171349288,0.5701803676725633,4.951295180722892
532,CMP-00533,Q2_BlackFriday_CMP-00533,2023-03-16,2023-03-21,TikTok,61890,1065,1043.14,137.0,0,TI,5 days,0.017207949587978673,0.12863849765258217,0.979474178403756,7.614160583941606
533,CMP-00534,Q2_BlackFriday_CMP-00534,2023-08-30,2023-09-08,Instagram,67387,819,947.8,65.0,0,IN,9 days,0.0121536794930773,0.07936507936507936,1.1572649572649572,14.581538461538461
534,CMP-00535,Q4_Summer_CMP-00535,2023-12-28,2024-01-12,Facebook,19071,434,802.42,70.0,1,FA,15 days,0.022757065701850977,0.16129032258064516,1.8488940092165898,11.463142857142856
535,CMP-00536,Q2_Winter_CMP-00536,2023-03-12,2023-10-02,TikTok,60275,2418,4699.12,391.0,1,TI,204 days,0.040116134384073,0.16170388751033912,1.9433912324234905,12.018209718670077
537,CMP-00538,Q4_Winter_CMP-00538,2023-11-08,2023-12-07,Google Ads,12938,408,663.02,74.0,1,GO,29 days,0.031535013139588806,0.18137254901960784,1.625049019607843,8.95972972972973
538,CMP-00539,Q3_BlackFriday_CMP-00539,2023-05-28,2023-06-23,Email,36195,1415,1835.95,127.0,0,EM,26 days,0.03909379748584058,0.08975265017667844,1.2974911660777386,14.456299212598426
539,CMP-00540,Q4_Summer_CMP-00540,2023-05-03,2023-06-02,Facebook,92680,1326,1732.65,261.0,0,FA,30 days,0.01430729391454467,0.19683257918552036,1.3066742081447964,6.6385057471264375
540,CMP-00541,Q4_Launch_CMP-00541,2023-08-23,2023-08-30,Email,5000,187,171.51,20.0,1,EM,7 days,0.0374,0.10695187165775401,0.9171657754010695,8.5755
541,CMP-00542,Q4_Winter_CMP-00542,2023-09-13,2023-09-17,TikTok,71588,978,807.27,74.0,1,TI,4 days,0.013661507515226016,0.07566462167689161,0.8254294478527607,10.909054054054053
542,CMP-00543,Q3_Winter_CMP-00543,2023-09-21,2023-10-21,TikTok,94610,4598,4285.37,472.0,1,TI,30 days,0.04859951379346792,0.10265332753371031,0.9320073945193562,9.07917372881356
543,CMP-00544,Q3_BlackFriday_CMP-00544,2023-05-30,2023-06-20,Google Ads,98856,2919,3895.38,338.0,0,GO,21 days,0.02952779800922554,0.1157930798218568,1.3344912641315518,11.524792899408284
544,CMP-00545,Q4_Summer_CMP-00545,2023-05-04,2023-05-28,Email,39304,629,342.01,37.0,0,EM,24 days,0.016003460207612456,0.058823529411764705,0.5437360890302066,9.243513513513513
545,CMP-00546,Q1_Summer_CMP-00546,2023-09-12,2023-12-31,Facebook,70449,1669,3105.8,228.0,1,FA,110 days,0.023690896960922084,0.1366087477531456,1.8608747753145598,13.621929824561404
546,CMP-00547,Q2_Winter_CMP-00547,2023-04-07,2023-07-30,Facebook,83986,2228,1636.3,311.0,1,FA,114 days,0.026528230895625463,0.1395870736086176,0.7344254937163375,5.261414790996785
547,CMP-00548,Q1_Summer_CMP-00548,2023-09-27,2023-09-28,Google Ads,90643,3655,3034.14,587.0,0,GO,1 days,0.0403230254956257,0.16060191518467853,0.8301340629274966,5.1688926746166945
548,CMP-00549,Q4_Launch_CMP-00549,2023-09-17,2023-10-16,TikTok,21764,864,1103.69,46.0,1,TI,29 days,0.039698584818967105,0.05324074074074074,1.2774189814814816,23.99326086956522
549,CMP-00550,Q3_Winter_CMP-00550,2023-08-29,2023-09-28,Facebook,87027,3000,4695.52,393.0,0,FA,30 days,0.03447206039504981,0.131,1.5651733333333335,11.947888040712469
550,CMP-00551,Q2_Summer_CMP-00551,2023-07-18,2023-08-17,Google Ads,39494,562,361.7,32.0,0,GO,30 days,0.01423000962171469,0.05693950177935943,0.643594306049822,11.303125
551,CMP-00552,Q2_Launch_CMP-00552,2023-01-09,2023-09-17,Instagram,4373,70,68.36,10.0,1,IN,251 days,0.016007317630916992,0.14285714285714285,0.9765714285714285,6.836
552,CMP-00553,Q4_Summer_CMP-00553,2023-05-04,2023-05-10,Instagram,13161,180,351.54,10.0,1,IN,6 days,0.013676772281741509,0.05555555555555555,1.953,35.154
553,CMP-00554,Q1_BlackFriday_CMP-00554,2023-10-25,2023-10-26,TikTok,98532,3260,2912.86,608.0,1,TI,1 days,0.033085698047334876,0.18650306748466258,0.8935153374233129,4.790888157894737
554,CMP-00555,Q1_Summer_CMP-00555,2023-01-23,2023-01-27,Facebook,93658,4222,4093.55,655.0,1,FA,4 days,0.04507890409788806,0.155139744197063,0.9695760303173852,6.24969465648855
556,CMP-00557,Q3_Summer_CMP-00557,2023-08-26,2023-09-19,Email,94008,1544,888.3,179.0,0,EM,24 days,0.016424134116245426,0.11593264248704663,0.5753238341968911,4.9625698324022345
557,CMP-00558,Q2_BlackFriday_CMP-00558,2023-04-04,2023-04-12,TikTok,95297,3080,3686.51,214.0,1,TI,8 days,0.032320010073769376,0.06948051948051948,1.1969188311688312,17.226682242990655
559,CMP-00560,Q4_Winter_CMP-00560,2023-04-14,2023-05-12,TikTok,89668,3556,3466.67,641.0,0,TI,28 days,0.039657402863897934,0.18025871766029247,0.9748790776152981,5.408221528861154
560,CMP-00561,Q2_Winter_CMP-00561,2023-04-13,2023-05-12,Email,16305,737,684.34,136.0,1,EM,29 days,0.04520085863232137,0.18453188602442333,0.9285481682496608,5.031911764705883
561,CMP-00562,Q3_Launch_CMP-00562,2023-06-08,2023-06-27,Email,76353,1612,1026.94,80.0,1,EM,19 days,0.021112464474218433,0.04962779156327544,0.637059553349876,12.83675
562,CMP-00563,Q4_BlackFriday_CMP-00563,2023-07-03,2023-10-06,Unknown,77797,1381,1342.66,192.0,1,XX,95 days,0.01775132717199892,0.1390296886314265,0.972237509051412,6.9930208333333335
563,CMP-00564,Q2_Winter_CMP-00564,2023-11-28,2023-12-16,Facebook,66953,3025,1707.85,477.0,1,FA,18 days,0.04518094782907413,0.15768595041322314,0.5645785123966942,3.5803983228511527
564,CMP-00565,Q2_Launch_CMP-00565,2023-01-25,2023-02-03,Instagram,58458,2122,3546.81,303.0,1,IN,9 days,0.0362995655000171,0.14278982092365694,1.6714467483506126,11.705643564356436
565,CMP-00566,Q2_Summer_CMP-00566,2023-03-05,2023-03-14,Google Ads,21358,479,525.63,29.0,1,GO,9 days,0.0224271935574492,0.060542797494780795,1.0973486430062631,18.125172413793102
566,CMP-00567,Q1_Summer_CMP-00567,2023-07-24,2023-07-25,Unknown,4267,169,197.03,13.0,1,XX,1 days,0.03960628075931568,0.07692307692307693,1.1658579881656805,15.156153846153845
567,CMP-00568,Q2_Summer_CMP-00568,2023-07-17,2023-08-09,Google Ads,83745,3567,6564.68,312.0,1,INVALID,23 days,0.04259358767687623,0.08746846089150546,1.8403924866834875,21.040641025641026
568,CMP-00569,Q2_Summer_CMP-00569,2023-12-21,2024-01-09,TikTok,90588,3134,4660.52,547.0,1,TI,19 days,0.03459619375634742,0.17453733248245054,1.4870835992342055,8.520146252285192
569,CMP-00570,Q3_Launch_CMP-00570,2023-09-23,2023-10-09,Google Ads,39513,1482,758.92,177.0,0,GO,16 days,0.03750664338319034,0.1194331983805668,0.5120917678812416,4.287683615819208
570,CMP-00571,Q1_BlackFriday_CMP-00571,2023-06-08,2023-08-09,Facebook,27092,677,1296.29,83.0,1,FA,62 days,0.02498892662040455,0.12259970457902511,1.9147562776957163,15.617951807228915
571,CMP-00572,Q2_Launch_CMP-00572,2023-11-05,2023-11-29,Instagram,12338,389,332.87,74.0,1,IN,24 days,0.03152861079591506,0.19023136246786632,0.855706940874036,4.498243243243243
572,CMP-00573,Q2_Winter_CMP-00573,2023-05-31,2023-06-23,Google Ads,1412,43,28.44,6.0,1,INVALID,23 days,0.030453257790368272,0.13953488372093023,0.6613953488372093,4.74
573,CMP-00574,Q4_BlackFriday_CMP-00574,2023-12-05,2023-12-10,Unknown,8543,375,619.57,69.0,0,XX,5 days,0.04389558703031722,0.184,1.6521866666666667,8.979275362318841
574,CMP-00575,Q3_Winter_CMP-00575,2023-08-07,2023-08-14,Facebook,34496,1503,1879.83,178.0,0,FA,7 days,0.04357026901669759,0.11842980705256155,1.2507185628742514,10.560842696629214
575,CMP-00576,Q1_Launch_CMP-00576,2023-08-17,2023-08-20,Facebook,61692,2671,3073.4,193.0,0,FA,3 days,0.04329572716073397,0.07225758143017597,1.1506551853238487,15.924352331606219
577,CMP-00578,Q1_Summer_CMP-00578,2023-11-24,2023-12-16,TikTok,93920,3755,4961.13,446.0,1,TI,22 days,0.03998083475298126,0.11877496671105194,1.3212063914780294,11.123609865470852
578,CMP-00579,Q2_BlackFriday_CMP-00579,2023-02-08,2023-02-21,TikTok,45425,1832,1670.01,141.0,1,TI,13 days,0.04033021463951569,0.0769650655021834,0.9115775109170305,11.844042553191489
